product_name,price,discount,stock,display_size,display_resolution,operating_system,operating_memory,description,subheading,visit_count,product_type,brand_id,category_id,display_frequency,display_nits,display_type,processor,processor_cores,graphics_card,graphics_memory,ssd_capacity,hdd_capacity,ssd,hdd,light_keyboard,num_keyboard,touch_screen,fingerprint_reader,memory_card_reader,usb_c_charging,battery_capacity,construction,height,height_units,width,width_units,depth,depth_units,weight,weight_units,color,usb_ports,hdmi_ports,audio_jack,usb_3_0,usb_2_0,cd_dvd_drive,product_image
Macbook Pro 512GB Stříbrný,25896,0,10,13.3,2560 x 1600,macOS,8,"Macbook Pro je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Díky Retina displeji si užijete nádherné podrobnosti a živé barvy ve vysokém rozlišení. Přesné a ostré obrazy vás přenáší do světa, kde se každý detail zobrazuje s ohromující jasností. Procesor Intel Core i7 a 4 jádra vám poskytují dostatečnou sílu pro plynulý běh náročných aplikací a multitasking. Spoléhejte na rychlé odezvy a plynulé přepínání mezi různými úkoly bez zbytečných prodlev. Grafická karta AMD Radeon Pro 5500M s 4 GB paměti vám umožňuje vytvářet a upravovat grafiku a videa s precizností. Prohlížejte si své projekty ve vysokém rozlišení a sledujte, jak se vám tvorba stává živou.SSD kapacitou 512 GB poskytuje rychlé načítání systému a aplikací, a to vše s dostatečným úložným prostorem pro vaše soubory a dokumenty. Můžete se spolehnout na rychlý a efektivní přístup k vašim datům. Macbook Pro je vyroben z odolného hliníku, který zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášení notebooku a využití při práci nebo na cestách. S Macbook Pro získáte výkonný a spolehlivý notebook, který vám umožní realizovat vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Prožijte prvotřídní výkon a úžasné vizuální efekty s Macbook Pro.,14560,Notebook,1,4,144,1600,Retina,Intel Core i7,4,AMD Radeon Pro 5500M,4,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,3.02,kg,stříbrná,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro 512GB/8GB Stříbrný,35621,0,10,13.3,2560 x 1600,macOS,8,"Macbook Pro je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Díky Retina displeji si užijete nádherné podrobnosti a živé barvy ve vysokém rozlišení. Přesné a ostré obrazy vás přenáší do světa, kde se každý detail zobrazuje s ohromující jasností. Procesor Intel Core i7 a 4 jádra vám poskytují dostatečnou sílu pro plynulý běh náročných aplikací a multitasking. Spoléhejte na rychlé odezvy a plynulé přepínání mezi různými úkoly bez zbytečných prodlev. Grafická karta AMD Radeon Pro 5500M s 4 GB paměti vám umožňuje vytvářet a upravovat grafiku a videa s precizností. Prohlížejte si své projekty ve vysokém rozlišení a sledujte, jak se vám tvorba stává živouvyroben z odolného hliníku, který zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášení notebooku a využití při práci nebo na cestách. S Macbook Pro získáte výkonný a spolehlivý notebook, který vám umožní realizovat vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Prožijte prvotřídní výkon a úžasné vizuální efekty s Macbook Pro.,14560,Notebook,1,4,144,1600,Retina,Intel Core i7,4,AMD Radeon Pro 5500M,4,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,3.02,kg,stříbrná,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro 512GB/16GB Stříbrný,35621,0,10,13.3,2560 x 1600,macOS,16,"Macbook Pro je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Díky Retina displeji si užijete nádherné podrobnosti a živé barvy ve vysokém rozlišení. Přesné a ostré obrazy vás přenáší do světa, kde se každý detail zobrazuje s ohromující jasností. Procesor Intel Core i7 a 4 jádra vám poskytují dostatečnou sílu pro plynulý běh náročných aplikací a multitasking. Spoléhejte na rychlé odezvy a plynulé přepínání mezi různými úkoly bez zbytečných prodlev. Grafická karta AMD Radeon Pro 5500M s 4 GB paměti vám umožňuje vytvářet a upravovat grafiku a videa s precizností. Prohlížejte si své projekty ve vysokém rozlišení a sledujte, jak se vám tvorba stává živouvyroben z odolného hliníku, který zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášení notebooku a využití při práci nebo na cestách. S Macbook Pro získáte výkonný a spolehlivý notebook, který vám umožní realizovat vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Prožijte prvotřídní výkon a úžasné vizuální efekty s Macbook Pro.,14560,Notebook,1,4,144,1600,Retina,Intel Core i7,4,AMD Radeon Pro 5500M,4,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,3.02,kg,stříbrná,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro M1 512GB/8GB Stříbrný,43758,0,15,13.3,2560 x 1600,macOS,8,"Macbook Pro s čipem M1 je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Retina displej nabízí nádherné detaily a živé barvy ve vysokém rozlišení, ponoří vás do světa, kde se každý detail zobrazuje s ohromující jasností. Čip M1, první čip od Applu navržený speciálně pro Mac, poskytuje výjimečnou energetickou efektivitu a výkon, umožňuje plynulý multitasking a bezproblémové provádění náročných úkolů. Integrovaná 8-jádrová GPU zajišťuje rychlé zpracování grafiky, umožňuje vám tvořit a upravovat grafiku a videa s precizností. Sledujte své projekty ve vysokém rozlišení a sledujte, jak se vaše tvorba stává živou. S kapacitou 512 GB SSD poskytuje Macbook Pro rychlé načítání systému a aplikací, a to vše s dostatečným úložným prostorem pro vaše soubory a dokumenty. Zažijte rychlý a efektivní přístup k vašim datům. Macbook Pro je vyroben z odolného hliníku, což zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášenínotebooku a využití při práci nebo na cestách. S Macbook Pro M1 získáte výkonný a spolehlivý notebook, který vám umožní naplnit vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Zažijte špičkový výkon a ohromující obraz s Macbookem Pro M1.,12540,Notebook,1,4,60,500,Retina,Apple M1,8,Apple M1,8,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,1.4,kg,stříbrná,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro M1 512GB/16GB Stříbrný,47623,0,15,13.3,2560 x 1600,macOS,16,"Macbook Pro s čipem M1 je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Retina displej nabízí nádherné detaily a živé barvy ve vysokém rozlišení, ponoří vás do světa, kde se každý detail zobrazuje s ohromující jasností. Čip M1, první čip od Applu navržený speciálně pro Mac, poskytuje výjimečnou energetickou efektivitu a výkon, umožňuje plynulý multitasking a bezproblémové provádění náročných úkolů. Integrovaná 8-jádrová GPU zajišťuje rychlé zpracování grafiky, umožňuje vám tvořit a upravovat grafiku a videa s precizností. Sledujte své projekty ve vysokém rozlišení a sledujte, jak se vaše tvorba stává živou. S kapacitou 512 GB SSD poskytuje Macbook Pro rychlé načítání systému a aplikací, a to vše s dostatečným úložným prostorem pro vaše soubory a dokumenty. Zažijte rychlý a efektivní přístup k vašim datům. Macbook Pro je vyroben z odolného hliníku, což zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášenínotebooku a využití při práci nebo na cestách. S Macbook Pro M1 získáte výkonný a spolehlivý notebook, který vám umožní naplnit vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Zažijte špičkový výkon a ohromující obraz s Macbookem Pro M1.,12540,Notebook,1,4,60,500,Retina,Apple M1,8,Apple M1,8,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,1.4,kg,stříbrná,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Air M1 512GB/16GB Stříbrný,32999,0,10,13.3,2560 x 1600,macOS,16,"Macbook Air s čipem M1 je výkonný a přenosný notebook navržený pro každodenní použití a mobilitu. Díky svému špičkovému výkonu a ohromujícímu zobrazení budete mít jistotu, že zvládnete každý úkol a budete mít plynulý přístup k nejnovějším aplikacím a programům. Retina displej nabízí vysoké rozlišení a živé barvy, které vás pohltí a umožní vám vnímat každý detail s úchvatnou jasností. Čip M1, první čip navržený speciálně pro Mac od společnosti Apple, poskytuje vynikající energetickou účinnost a výkon, což umožňuje plynulé multitasking a snadné zvládnutí náročných úkolů. Díky integrované 7-jádrové GPU můžete rychle zpracovávat grafiku a tvořit a upravovat grafiku a videa s vysokou přesností. Prohlížejte si své projekty vysokým rozlišením a sledujte, jak ožívají vaše vize. S kapacitou 512 GB SSD poskytuje Macbook Air rychlé načítání systému a aplikací a dostatek úložného prostoru pro vaše soubory a dokumenty. Zažijte rychlý a efektivní přístup ke svým datům. Macbook Air je vyroben z odolného hliníkového těla, které zajišťuje dlouhodobou spolehlivost a odolnost. Jeho tenký a lehký design vám umožní snadné přenášení a používání notebooku všude, kde jste. S Macbookem Air M1 získáte výkonný a spolehlivý notebook, který vám umožní naplnit vaše každodenní potřeby a vychutnat si vysokou kvalitu multimediálního zážitku.",Zažijte výkonnost a pohodlí s Macbookem Air M1.,9823,Notebook,1,4,60,400,Retina,Apple M1,8,Apple M1,7,512,0,True,False,True,False,False,False,False,True,49.9,celokovový,0.41,mm,11.97,mm,8.36,mm,1.29,kg,stříbrná,2,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro 512GB Šedý,25896,0,10,13.3,2560 x 1600,macOS,8,"Macbook Pro je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Díky Retina displeji si užijete nádherné podrobnosti a živé barvy ve vysokém rozlišení. Přesné a ostré obrazy vás přenáší do světa, kde se každý detail zobrazuje s ohromující jasností. Procesor Intel Core i7 a 4 jádra vám poskytují dostatečnou sílu pro plynulý běh náročných aplikací a multitasking. Spoléhejte na rychlé odezvy a plynulé přepínání mezi různými úkoly bez zbytečných prodlev. Grafická karta AMD Radeon Pro 5500M s 4 GB paměti vám umožňuje vytvářet a upravovat grafiku a videa s precizností. Prohlížejte si své projekty ve vysokém rozlišení a sledujte, jak se vám tvorba stává živou.SSD kapacitou 512 GB poskytuje rychlé načítání systému a aplikací, a to vše s dostatečným úložným prostorem pro vaše soubory a dokumenty. Můžete se spolehnout na rychlý a efektivní přístup k vašim datům. Macbook Pro je vyroben z odolného hliníku, který zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášení notebooku a využití při práci nebo na cestách. S Macbook Pro získáte výkonný a spolehlivý notebook, který vám umožní realizovat vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Prožijte prvotřídní výkon a úžasné vizuální efekty s Macbook Pro.,14560,Notebook,1,4,144,1600,Retina,Intel Core i7,4,AMD Radeon Pro 5500M,4,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,3.02,kg,šedá,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro 512GB/8GB Šedý,35621,0,10,13.3,2560 x 1600,macOS,8,"Macbook Pro je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Díky Retina displeji si užijete nádherné podrobnosti a živé barvy ve vysokém rozlišení. Přesné a ostré obrazy vás přenáší do světa, kde se každý detail zobrazuje s ohromující jasností. Procesor Intel Core i7 a 4 jádra vám poskytují dostatečnou sílu pro plynulý běh náročných aplikací a multitasking. Spoléhejte na rychlé odezvy a plynulé přepínání mezi různými úkoly bez zbytečných prodlev. Grafická karta AMD Radeon Pro 5500M s 4 GB paměti vám umožňuje vytvářet a upravovat grafiku a videa s precizností. Prohlížejte si své projekty ve vysokém rozlišení a sledujte, jak se vám tvorba stává živouvyroben z odolného hliníku, který zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášení notebooku a využití při práci nebo na cestách. S Macbook Pro získáte výkonný a spolehlivý notebook, který vám umožní realizovat vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Prožijte prvotřídní výkon a úžasné vizuální efekty s Macbook Pro.,14560,Notebook,1,4,144,1600,Retina,Intel Core i7,4,AMD Radeon Pro 5500M,4,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,3.02,kg,šedá,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro 512GB/16GB Šedý,35621,0,10,13.3,2560 x 1600,macOS,16,"Macbook Pro je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Díky Retina displeji si užijete nádherné podrobnosti a živé barvy ve vysokém rozlišení. Přesné a ostré obrazy vás přenáší do světa, kde se každý detail zobrazuje s ohromující jasností. Procesor Intel Core i7 a 4 jádra vám poskytují dostatečnou sílu pro plynulý běh náročných aplikací a multitasking. Spoléhejte na rychlé odezvy a plynulé přepínání mezi různými úkoly bez zbytečných prodlev. Grafická karta AMD Radeon Pro 5500M s 4 GB paměti vám umožňuje vytvářet a upravovat grafiku a videa s precizností. Prohlížejte si své projekty ve vysokém rozlišení a sledujte, jak se vám tvorba stává živouvyroben z odolného hliníku, který zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášení notebooku a využití při práci nebo na cestách. S Macbook Pro získáte výkonný a spolehlivý notebook, který vám umožní realizovat vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Prožijte prvotřídní výkon a úžasné vizuální efekty s Macbook Pro.,14560,Notebook,1,4,144,1600,Retina,Intel Core i7,4,AMD Radeon Pro 5500M,4,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,3.02,kg,šedá,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
Macbook Pro M1 512GB/8GB Šedý,43758,0,15,13.3,2560 x 1600,macOS,8,"Macbook Pro s čipem M1 je výkonný a univerzální notebook navržený pro profesionály a náročné uživatele. S jeho špičkovým výkonem a ohromujícím vizuálním zážitkem si můžete být jistí, že zvládnete jakýkoli úkol a projdete se plynule nejnovějšími aplikacemi a programy. Retina displej nabízí nádherné detaily a živé barvy ve vysokém rozlišení, ponoří vás do světa, kde se každý detail zobrazuje s ohromující jasností. Čip M1, první čip od Applu navržený speciálně pro Mac, poskytuje výjimečnou energetickou efektivitu a výkon, umožňuje plynulý multitasking a bezproblémové provádění náročných úkolů. Integrovaná 8-jádrová GPU zajišťuje rychlé zpracování grafiky, umožňuje vám tvořit a upravovat grafiku a videa s precizností. Sledujte své projekty ve vysokém rozlišení a sledujte, jak se vaše tvorba stává živou. S kapacitou 512 GB SSD poskytuje Macbook Pro rychlé načítání systému a aplikací, a to vše s dostatečným úložným prostorem pro vaše soubory a dokumenty. Zažijte rychlý a efektivní přístup k vašim datům. Macbook Pro je vyroben z odolného hliníku, což zajišťuje dlouhodobou spolehlivost a odolnost. Jeho kompaktní a lehký design vám umožňuje snadné přenášenínotebooku a využití při práci nebo na cestách. S Macbook Pro M1 získáte výkonný a spolehlivý notebook, který vám umožní naplnit vaše profesionální ambice a těšit se z kvalitního multimediálního zážitku.",Zažijte špičkový výkon a ohromující obraz s Macbookem Pro M1.,12540,Notebook,1,4,60,500,Retina,Apple M1,8,Apple M1,8,512,0,True,False,True,False,False,False,False,True,58,celokovový,0.61,mm,11.97,mm,8.36,mm,1.4,kg,šedá,4,1,True,True,False,False,test_image_mac_book_pro.jpeg
